order_id,customer_email,price,transaction_id,order_date
10001,owen26@example.com,109.39,txn_100000,2026-02-05
10002,val693@example.com,145.44,txn_100001,2026-06-01
10003,blake31@example.com,22.45,txn_100002,2026-06-04
10004,bob204@inbox.io,164.16,txn_100003,2026-04-18
10005,oscar604@test.org,70.2,txn_100004,2026-07-14
10006,kevin349@test.org,21.15,txn_100005,2026-07-15
10007,victor95@example.com,31.92,txn_100006,2026-03-30
10008,miles827@shop.net,39.46,txn_100007,2026-02-01
10009,yasmin566@example.com,52.15,txn_100008,2026-04-03
10010,kai722@mail.com,54.59,txn_100009,2026-07-17
10011,sybil876@example.com,12.58,txn_100010,2026-03-13
10012,drew167@shop.net,20.71,txn_100011,2026-03-10
10013,sam624@example.com,45.06,txn_100012,2026-03-04
10014,kevin389+test@test.org,74.4,txn_100013,2026-06-26
10015,jude702@mail.com,62.62,txn_100014,2026-01-15
10016,oscar825@example.com,25.08,txn_100015,2026-02-24
10017,kai218@shop.net,34.67,txn_100016,2026-06-14
10018,drew272@mail.com,60.87,txn_100017,2026-05-18
10019,quentin439@inbox.io,127.93,txn_100018,2026-02-26
10020,ivan506@inbox.io,8.53,txn_100019,2026-01-29
10021,judy812@mail.com,49.73,txn_100020,2026-04-09
10022,yasmin480@inbox.io,77.83,txn_100021,2026-01-03
10023,ray699@example.com,170.11,txn_100022,2026-07-16
10024,pia115@shop.net,-70.98,txn_100023,2026-01-01
10025,uri996@shop.net,18.4,txn_100024,2026-01-28
10026,owen862@shop.net,50.67,txn_100025,2026-02-09
10027,xander553@mail.com,476.73,txn_100026,2026-01-01
10028,miles501@shop.net,74.68,txn_100027,2026-03-20
10029,peggy247@example.com,193.63,txn_100028,2026-01-22
10030,uri836@test.org,62.05,txn_100029,2026-07-16
10031,ivan676@mail.com,46.24,   ,2026-03-09
10032,harper434@inbox.io,478.67,txn_100031,2026-07-13
10033,uri731@mail.com,79.64,txn_100032,2026-06-16
10034,xander922@test.org,14.08,txn_100033,2026-02-27
10035,eve22@shop.net,22.26,txn_100034,2026-02-26
10036,alice725@example.com,22.17,txn_100035,2026-01-09
10037,victor527@example.com,55.17,txn_100036,2026-02-24
10038,iris741@mail.com,371.31,txn_100037,2026-05-02
10039,peggy827@test.org,12.07,txn_100038,2026-06-18
10040,blake434@shop.net,69.79,txn_100039,2026-01-14
10041,ray63@example.com,30.45,txn_100040,2026-01-28
10042,peggy195@mail.com,15.51,txn_100041,16/02/2026
10043,romeo256@test.org,89.05,txn_100042,2026-05-21
10044,grace668@example.com,1754.04,txn_100043,2026-01-24
10045,wren171@mail.com,41.1,txn_100044,2026-04-13
10046,david389@mail.com,34.28,txn_100045,2026-07-20
10047,drew434@shop.net,59.79,txn_100046,2026-07-20
10048,jude159@test.org,21.33,txn_100047,2026-01-15
10049,luna63@inbox.io,86.86,txn_100048,2026-05-30
10050,,98.89,txn_100049,2026-05-11
10051,frank71@mail.com,55.64,txn_100050,2026-03-02
10052,zach965@example.com,109.55,txn_100051,2026-06-02
10053,charlie84@inbox.io,48.78,txn_100052,2026-05-14
10054,uma210@shop.net,28.56,txn_100053,2026-03-09
10055,zach688@mail.com,39.29,txn_100054,2026-07-12
10056,eve470@example.com,47.22,txn_100055,2026-01-26
10057,eve219@inbox.io,14.93,txn_100056,2029-04-15
10058,eve379@mail.com,37.86,txn_100057,2026-05-20
10059,tara627@shop.net,1710.65,txn_100058,2026-05-16
10060,alice307@inbox.io,231.08,txn_100059,2026-02-04
10061,quentin912@example.com,46.49,txn_100060,2026-03-21
10062,sybil216@inbox.io,104.43,txn_100061,2026-06-12
10063,quentin501@inbox.io,73.11,txn_100062,2026-01-14
10064,frank850@test.org,5.27,txn_100063,2026-07-17
10065,ivan166@shop.net,146.2,txn_100064,2026-04-20
10066,jude115@example.com,71.23,txn_100065,2026-02-08
10067,iris855@example.com,46.44,txn_100066,2026-04-21
10068,ivan316@example.com,74.98,txn_100067,2026-01-11
10069,wendy699@mail.com,12.71,txn_100068,2026-07-19
10070,jude998@test.org,16.59,txn_100069,2026-03-02
10071,kevin903@mail.com,18.45,txn_100070,2026-03-27
10072,aria274@mail.com,57.6,txn_100071,2026-04-08
10073,charlie228@test.org,73.88,txn_100072,2026-03-31
10074,trent229@mail.com,19.48,txn_100073,2026-03-26
10075,romeo991@example.com,122.14,txn_100074,2026-05-11
10076,zach340@inbox.io,234.6,txn_100075,2026-03-08
10077,laura986@inbox.io,557.39,txn_100076,2026-06-02
10078,blake747@shop.net,132.37,txn_100077,2026-05-11
10079,heidi922@test.org,24.1,txn_100078,2026-07-01
10080,blake533@example.com,361.54,txn_100079,2026-07-04
10081,val373@mail.com,76.17,txn_100080,2026-03-26
10082,nora680@shop.net,166.37,txn_100081,2026-03-18
10083,gabe683@shop.net,35.18,txn_100082,2026-03-17
10084,jude197@mail.com,75.53,txn_100083,2026-06-23
10085,val631@mail.com,35.46,txn_100084,2026-01-01
10086,trent216@shop.net,48.5,txn_100085,2026-06-17
10087,uma453@test.org,21.03,txn_100086,2026-05-02
10088,val675@mail.com,43.66,txn_100087,2026-06-12
10089,nora96@shop.net,170.14,txn_100088,2026-06-22
10090,trent826@mail.com,6.83,txn_100089,2026-03-04
10091,eli871@inbox.io,134.65,txn_100090,2026-06-11
10092,kai736@mail.com,42.08,txn_100091,2026-03-04
10093,judy915@example.com,172.41,txn_100092,2026-01-28
10094,zoe225@test.org,76.85,txn_100093,2026-05-13
10095,drew571@example.com,68.63,txn_100094,2026-04-27
10096,ivan684@test.org,46.92,txn_100095,2026-03-23
10097,wren628@test.org,187.04,txn_100096,2026-04-20
10098,jude919@test.org,69.61,txn_100097,2026-04-26
10099,quentin861@mail.com,62.44,txn_100098,2026-05-14
10100,fiona282@mail.com,58.52,txn_100099,2026-03-02
10101,romeo328@shop.net,89.67,txn_100100,2026-02-08
10102,oscar711@test.org,21.05,txn_100101,2026-04-17
10103,aria556@shop.net,9.67,txn_100102,2026-04-18
10104,yasmin969@inbox.io,69.25,txn_100103,2026-07-15
10105,kai489@test.org,31.38,txn_100104,2026-07-12
10106,yasmin552@test.org,145.54,txn_100105,2026-06-04
10107,oscar225@test.org,41.42,txn_100106,2026-04-10
10108,victor742@test.org,40.05,txn_100107,2026-02-02
10109,nora28@inbox.io,377.57,txn_100108,2026-06-19
10110,bob659@example.com,70.01,txn_100109,2026-02-16
10111,david389@shop.net,39.1,txn_100110,2026-03-28
10112,wren285@test.org,179.83,txn_100111,2026-03-06
10113,frank20@test.org,86.25,txn_100112,2026-03-31
10114,oscar800@example.com,212.08,txn_100113,2026-01-08
10115,peggy860@mail.com,16.43,txn_100114,2026-02-02
10116,eli578@example.com,339.51,txn_100115,2026-03-07
10117,zoe172@shop.net,77.28,txn_100116,2026-07-03
10118,heidi988@mail.com,48.4,txn_100117,2026-03-21
10119,kai407@test.org,259.5,txn_100118,2026-06-01
10120,sam105@mail.com,27.62,txn_100119,2026-06-25
10121,miles816@example.com,1673.95,txn_100120,2026-03-30
10122,iris678@test.org,42.95,txn_100121,2026-03-29
10123,alice843@test.org,37.51,txn_100122,2026-04-03
10124,owen725@test.org,18.21,txn_100123,2026-05-14
10125,pia631@shop.net,144.58,txn_100124,2026-05-04
10126,drew846@test.org,112.21,txn_100125,2026-03-04
10127,frank903@shop.net,61.29,txn_100126,2026-05-26
10128,nora345@test.org,68.82,txn_100127,2026-02-16
10129,fiona364@mail.com,120.84,txn_100128,2026-06-02
10130,sam570@shop.net,76.1,txn_100129,2026-01-22
10131,peggy501@test.org,23.02,txn_100130,2026-05-02
10132,pia459@test.org,91.17,txn_100131,2026-02-26
10133,zach314@mail.com,32.68,txn_100132,2026-05-22
10134,harper436@shop.net,1325.58,txn_100133,2026-04-01
10135,sam278@test.org,22.29,txn_100134,2026-07-04
10136,mallory123@shop.net,194.11,txn_100135,2026-06-26
10137,laura222@mail.com,113.18,txn_100136,2026-05-31
10138,wren612@inbox.io,12.54,txn_100137,2026-02-19
10139,sybil370+orders@mail.com,6.06,txn_100138,2026-05-17
10140,ivan47@shop.net,,txn_100139,2026-06-28
10141,ivan106@test.org,148.89,txn_100140,2026-05-01
10142,eli349@test.org,8.85,txn_100141,2026-05-03
10143,heidi411@example.com,48.28,txn_100142,2026-07-11
10144,david153@mail.com,193.9,txn_100143,2026-01-22
10145,peggy572@example.com,152.76,txn_100144,2026-06-08
10146,oscar390@inbox.io,38.2,txn_100145,2026-05-31
10147,blake583@shop.net,50.72,txn_100146,2026-07-09
10148,grace641@mail.com,54.53,txn_100147,2026-02-10
10149,peggy566@mail.com,5.2,txn_100148,2026-04-26
10150,sam482@inbox.io,22.36,txn_100149,2026-06-30
10151,sybil73@test.org,74.29,txn_100150,2026-06-10
10152,luna436@mail.com,21.86,txn_100151,2026-02-08
10153,romeo74@mail.com,64.45,txn_100152,2026-06-02
10154,val944@inbox.io,14.33,txn_100153,2026-06-26
10155,trent966@test.org,45.5,txn_100154,2026-04-23
10156,frank41@inbox.io,168.14,txn_100155,2026-06-04
10157,quentin94@example.com,55.57,txn_100156,2026-05-28
10158,luna784@example.com,25.21,txn_100157,2026-01-11
10159,wren482@mail.com,38.17,txn_100158,2026-03-13
10160,laura447@inbox.io,41.88,txn_100159,2026-01-24
10161,eli419@shop.net,55.26,txn_100160,2026-02-11
10162,victor711@test.org,54.69,txn_100161,2026-04-13
10163,wren38@inbox.io,28.59,txn_100162,2026-03-24
10164,heidi886@test.org,79.11,txn_100163,2026-06-18
10165,iris424@test.org,43.88,txn_100164,2026-02-14
