order_id,customer_email,price,transaction_id,order_date
1001,alice@example.com,29.99,txn_89321,2026-08-03
1002,bob@example.com,45.50,txn_89321,2026-08-01
1003,charlie@example.com,,txn_89323,2026-08-02
1004,david@example.com,0,txn_89324,2026-08-02
1005,eve@example.com,5.50,txn_89325,2026-08-02
1006,frank@example.com,150.00,txn_89326,2026-08-03
1007,grace@example.com,23.45,txn_89327,2026-08-03
1008,heidi@example.com,8.99,txn_89328,2026-08-04
1009,ivan@example.com,67.20,txn_89329,2026-08-04
1010,judy@example.com,120.00,txn_89330,2026-08-05
1011,kevin@example.com,34.50,txn_89331,2026-08-05
1012,laura@example.com,45.00,txn_89332,2026-08-05
1013,mallory@example.com,12.99,txn_89333,2026-08-06
1014,nina@example.com,88.88,txn_89334,2026-08-06
1015,oscar@example.com,9.99,txn_89335,2026-08-06
1016,peggy@example.com,41.25,txn_89336,2026-08-07
1017,quentin@example.com,75.00,txn_89337,2026-08-07
1018,romeo@example.com,19.99,txn_89338,2026-08-07
1019,sybil@example.com,55.50,txn_89339,2026-08-08
1020,trent@example.com,105.00,txn_89340,2026-08-08
